"code","candidate_txt","prediction","candidate","names","Data","Language","Social","Experience","crit","train"
"Isadora Insight","cand3",3,3,"Simone",0,1,0,0,3,1
"Isadora Insight","cand4",6,4,"Ulrike",1,1,0,0,7,0
"Isadora Insight","cand5",2,5,"Ute",0,0,1,0,2,0
"Isadora Insight","cand6",5,6,"Rita",1,0,1,0,6,1
"Isadora Insight","cand7",5,7,"Bettina",0,1,1,0,5,0
"Isadora Insight","cand8",9,8,"Guilia",1,1,1,0,9,1
"Isadora Insight","cand9",1,9,"Fernande",0,0,0,1,1,1
"Isadora Insight","cand10",6,10,"Maria",1,0,0,1,5,0
"Isadora Insight","cand11",4,11,"Bela",0,1,0,1,4,0
"Isadora Insight","cand12",8,12,"Salome",1,1,0,1,8,1
"Isadora Insight","cand13",3,13,"Manuela",0,0,1,1,3,0
"Isadora Insight","cand14",7,14,"Dominque",1,0,1,1,7,0
"Isadora Insight","cand15",6,15,"Jule",0,1,1,1,6,0
"Isadora Insight","cand16",10,16,"Tina",1,1,1,1,10,0
"drea","cand1",0,1,"Joana",0,0,0,0,0,0
"drea","cand2",3,2,"Filipa",1,0,0,0,4,1
"drea","cand3",2,3,"Simone",0,1,0,0,3,1
"drea","cand4",5,4,"Ulrike",1,1,0,0,7,0
"drea","cand5",1,5,"Ute",0,0,1,0,2,0
"drea","cand6",4,6,"Rita",1,0,1,0,6,1
"drea","cand7",4,7,"Bettina",0,1,1,0,5,0
"drea","cand8",6,8,"Guilia",1,1,1,0,9,1
"drea","cand9",1,9,"Fernande",0,0,0,1,1,1
"drea","cand10",6,10,"Maria",1,0,0,1,5,0
"drea","cand11",3,11,"Bela",0,1,0,1,4,0
"drea","cand12",7,12,"Salome",1,1,0,1,8,1
"drea","cand13",4,13,"Manuela",0,0,1,1,3,0
"drea","cand14",8,14,"Dominque",1,0,1,1,7,0
"drea","cand15",7,15,"Jule",0,1,1,1,6,0
"drea","cand16",10,16,"Tina",1,1,1,1,10,0
"18441900","cand1",0,1,"Joana",0,0,0,0,0,0
"18441900","cand2",4,2,"Filipa",1,0,0,0,4,1
"18441900","cand3",2,3,"Simone",0,1,0,0,3,1
"18441900","cand4",6,4,"Ulrike",1,1,0,0,7,0
"18441900","cand5",2,5,"Ute",0,0,1,0,2,0
"18441900","cand6",6,6,"Rita",1,0,1,0,6,1
"18441900","cand7",5,7,"Bettina",0,1,1,0,5,0
"18441900","cand8",8,8,"Guilia",1,1,1,0,9,1
"18441900","cand9",1,9,"Fernande",0,0,0,1,1,1
"18441900","cand10",6,10,"Maria",1,0,0,1,5,0
"18441900","cand11",4,11,"Bela",0,1,0,1,4,0
"18441900","cand12",9,12,"Salome",1,1,0,1,8,1
"18441900","cand13",5,13,"Manuela",0,0,1,1,3,0
"18441900","cand14",9,14,"Dominque",1,0,1,1,7,0
"18441900","cand15",7,15,"Jule",0,1,1,1,6,0
"18441900","cand16",10,16,"Tina",1,1,1,1,10,0
