"code","candidate_txt","prediction","candidate","names","Data","Language","Social","Experience","crit","train"
"MUEL","cand3",3,3,"Simone",0,1,0,0,3,1
"MUEL","cand4",7,4,"Ulrike",1,1,0,0,7,0
"MUEL","cand5",2,5,"Ute",0,0,1,0,2,0
"MUEL","cand6",3,6,"Rita",1,0,1,0,6,1
"MUEL","cand7",5,7,"Bettina",0,1,1,0,5,0
"MUEL","cand8",9,8,"Guilia",1,1,1,0,9,1
"MUEL","cand9",1,9,"Fernande",0,0,0,1,1,1
"MUEL","cand10",5,10,"Maria",1,0,0,1,5,0
"MUEL","cand11",4,11,"Bela",0,1,0,1,4,0
"MUEL","cand12",8,12,"Salome",1,1,0,1,8,1
"MUEL","cand13",3,13,"Manuela",0,0,1,1,3,0
"MUEL","cand14",7,14,"Dominque",1,0,1,1,7,0
"MUEL","cand15",9,15,"Jule",0,1,1,1,6,0
"MUEL","cand16",10,16,"Tina",1,1,1,1,10,0
"1893","cand1",0,1,"Joana",0,0,0,0,0,0
"1893","cand2",2,2,"Filipa",1,0,0,0,4,1
"1893","cand3",3,3,"Simone",0,1,0,0,3,1
"1893","cand4",7,4,"Ulrike",1,1,0,0,7,0
"1893","cand5",3,5,"Ute",0,0,1,0,2,0
"1893","cand6",7,6,"Rita",1,0,1,0,6,1
"1893","cand7",7,7,"Bettina",0,1,1,0,5,0
"1893","cand8",9,8,"Guilia",1,1,1,0,9,1
"1893","cand9",1,9,"Fernande",0,0,0,1,1,1
"1893","cand10",4,10,"Maria",1,0,0,1,5,0
"1893","cand11",3,11,"Bela",0,1,0,1,4,0
"1893","cand12",7,12,"Salome",1,1,0,1,8,1
"1893","cand13",4,13,"Manuela",0,0,1,1,3,0
"1893","cand14",7,14,"Dominque",1,0,1,1,7,0
"1893","cand15",6,15,"Jule",0,1,1,1,6,0
"1893","cand16",10,16,"Tina",1,1,1,1,10,0
